conversation_id,conversation_date,source,collection,response_time,feedback,gen_ai_response
im5s8zReHyeqvpJ,2024-06-25,web,Metrics,0.8842665790563038,NA,FALSE
h69ANw0i1YZ1VVI,2024-09-10,web,FAQ,0.9463994003578758,NA,FALSE
IbaVoKXLZPw94o7,2024-08-22,web,Access Questions,0.6976932768098411,NA,FALSE
Z5dqEf4LORY8aLD,2024-09-18,web,Reports,0.8755313715251747,NA,FALSE
HPFdi8ImHMoFwbD,2024-06-28,web,Data Definitions,0.9644499212436525,NA,FALSE
BS7gnzYNOvCyf0S,2024-06-17,web,Access Questions,1.19097796405004,NA,TRUE
6iqu0wJp337IWtc,2024-06-22,web,Metrics,0.723979010811496,NA,FALSE
7tqIdYmSAgy7RKM,2024-08-01,web,Technical Problems,0.788070763724111,NA,FALSE
MZz98LVEvOErNfr,2024-07-01,web,Reports,0.7937034178331804,NA,FALSE
DqDGEJiavJJVKYI,2024-08-13,web,Headcount,1.0072229818639957,NA,FALSE
UKTdQVg1Y89AfG8,2024-08-12,web,Technical Problems,1.2003517282762655,NA,FALSE
hWPMJHVtQcmJAta,2024-07-04,web,Reports,0.8286248338721206,NA,FALSE
9rlQkhDJ2ZnUBGz,2024-09-04,web,Headcount,0.949393511838461,NA,FALSE
WsGzeT07ezXNrM2,2024-09-30,web,Technical Problems,0.8245009251282285,NA,FALSE
k1YS6dhNxXck5xj,2024-08-04,web,Reports,0.5147841768867626,NA,FALSE
FEeApwk6djw3TdQ,2024-07-10,web,Headcount,0.593935107409748,NA,FALSE
m6p0cAAhNFjmWZt,2024-07-10,web,Access Questions,0.8038630292692083,NA,FALSE
33f9bnjUNW0lZ5G,2024-07-03,web,Access Questions,0.8144301514187268,NA,FALSE
vbz4afRoFhKf3Yi,2024-08-31,web,Reports,0.43696563474086786,NA,FALSE
GAPl0tBV6YLr9pl,2024-09-29,web,Metrics,0.9174422418127085,NA,FALSE
oodhO7dpp8Mopjq,2024-08-15,web,Compensation Dashboard,0.6361548574698397,NA,TRUE
jvPVRKTSNdmtWvf,2024-08-03,web,Data Definitions,0.710977972327707,NA,FALSE
WYaYjCzyAQlrU1X,2024-07-09,web,Data Definitions,0.5665232049455526,NA,TRUE
a2jwZgc9xCjEO1X,2024-08-31,web,Compensation Dashboard,0.8995335444003778,NA,FALSE
iZQJKfWzpDB4DW2,2024-07-06,web,Technical Problems,0.7631359040357466,NA,TRUE
Y9iS0lSaLw6lSP9,2024-07-25,web,FAQ,0.8093353640684271,NA,FALSE
wo56T628ZG9gdKK,2024-06-30,web,Reports,0.9646900252843471,NA,FALSE
Ewymsoh9fg4CVTg,2024-08-20,web,Access Questions,0.6709149779361301,NA,FALSE
zHzewv8eYeGTAAP,2024-07-11,web,Reports,0.9271625389165866,NA,FALSE
THQrxFKZv5vYEkB,2024-07-16,web,Data Definitions,0.7246633658356354,NA,FALSE
7VsbzMQ5OZwuHt8,2024-09-14,web,Compensation Dashboard,0.8926012320523407,NA,FALSE
mAXvB1rZ67BQiPz,2024-10-02,web,Access Questions,0.7910799741192223,NA,FALSE
KUONovfSsQjBxDb,2024-08-27,web,FAQ,1.136483584663511,negative,TRUE
cgFCZEIPoxINSMb,2024-09-25,web,Technical Problems,0.8339799630599355,NA,FALSE
J7CF1SaY3r8KFsI,2024-06-27,web,Access Questions,0.9484622487109646,NA,FALSE
fQS2YZv6bE7FAYQ,2024-09-25,slack,Reports,0.8047397974956741,NA,FALSE
sYdYynVTGrNnCkG,2024-08-18,slack,FAQ,0.7929290769794005,NA,TRUE
65iEUmpnI8MjT4E,2024-09-29,web,Metrics,1.1312830738534436,NA,FALSE
sK8ThHLkDTTfy8I,2024-08-07,web,Technical Problems,0.6389878664103311,NA,TRUE
CxYyOvKOvPX3Prc,2024-07-16,web,FAQ,0.9300702876753527,NA,FALSE
q4k3oRK33nzLcK4,2024-08-28,web,Data Definitions,0.8221972543854285,positive,FALSE
NEpxp5pIiEjgnBi,2024-09-15,web,Data Definitions,0.8927318150901561,NA,FALSE
oqbSDEIsLCknlDv,2024-08-09,web,Headcount,0.8951486197937476,NA,FALSE
fIn6Kb7rOxyfJyQ,2024-08-06,web,Access Questions,0.6510069550848085,NA,FALSE
xyaRWsnXobyybPp,2024-07-02,web,Access Questions,0.678933905041885,NA,FALSE
QaztpoHT0JOS1wr,2024-08-23,web,Compensation Dashboard,0.8563659679885468,positive,FALSE
kvBvn8iaLkBdwk1,2024-09-13,web,Metrics,0.8709627933706787,NA,TRUE
nVtYBtT1q7F1JBo,2024-09-27,web,Metrics,0.87267925119979,NA,FALSE
4gPNrXtsN9fchAf,2024-06-25,web,Compensation Dashboard,0.8675943620655023,NA,FALSE
ADYyzvBKCMSImn2,2024-09-24,web,Data Definitions,0.6395359398056387,NA,FALSE
kPjWFQU6OIHyMED,2024-07-11,web,Technical Problems,0.6205388693502152,NA,TRUE
oInZPVkyNpcsv43,2024-09-17,web,Technical Problems,0.7550220305155898,NA,FALSE
